,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0,2,1,1,1,1,2,1,1,8,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1,0,0,1,0,0,1,0,1,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,1,3,1,2,1,3,3,2,5,8,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
3,2,2,3,6,4,7,6,12,27,3,3,4,2,1,2,2,1,8,11,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
4,2,4,3,4,4,5,5,16,3,2,2,3,2,2,2,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
5,2,4,1,2,3,5,5,10,17,4,5,4,2,1,3,6,3,6,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
6,2,5,2,4,6,2,9,29,6,5,4,5,3,4,4,3,8,9,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
7,2,5,3,5,4,6,4,10,23,7,11,5,4,2,7,8,6,9,10,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
8,2,8,4,5,4,2,2,8,23,5,6,5,4,4,5,8,5,5,9,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
9,3,7,5,4,4,6,6,4,15,4,4,3,3,6,5,12,11,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
10,16,6,9,9,15,17,8,22,5,6,4,8,9,8,29,67,21,17,8,18,11,6,8,27,13,8,0,0,0,0,0,0,0,0,0,0,0,81
11,17,8,9,13,15,11,9,16,8,7,13,15,9,28,27,5,17,9,9,27,13,10,15,23,21,8,15,0,0,0,0,0,0,0,0,0,0,85
12,4,3,5,4,6,7,6,4,3,2,4,4,6,10,10,6,3,12,3,10,3,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,38
13,3,2,2,5,7,6,6,6,10,3,3,8,8,9,13,4,0,8,14,2,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
14,4,2,3,4,6,7,5,6,13,7,5,6,9,14,15,7,4,13,12,6,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
15,2,3,2,4,7,7,6,7,11,7,8,6,10,8,6,3,6,12,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
16,2,3,2,6,4,6,7,14,8,10,12,15,13,9,3,7,2,10,1,6,2,1,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,40
17,2,2,3,6,2,3,3,17,8,11,11,6,6,11,6,3,8,2,10,2,5,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,32
18,4,2,3,6,6,6,5,17,8,11,14,3,6,13,2,9,1,14,2,4,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38
19,1,3,2,5,4,3,4,14,6,8,13,3,6,10,4,6,2,8,2,3,5,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,34
20,1,0,1,1,1,1,7,3,3,4,1,1,5,3,0,2,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
21,7,5,8,8,8,6,19,43,11,8,8,6,7,9,10,3,48,5,6,6,5,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,48
22,0,0,0,2,1,1,3,1,1,1,0,0,2,2,0,0,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
23,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24,19,8,8,9,8,6,38,35,10,11,14,12,13,13,17,12,5,72,26,8,5,5,5,27,10,0,0,0,0,0,0,0,0,0,0,0,0,70
25,2,1,2,14,26,1,2,1,5,4,4,7,2,7,8,2,4,5,1,10,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
26,2,1,12,19,2,2,5,12,4,10,3,8,5,2,4,2,2,10,5,4,3,2,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,25
27,0,3,14,41,3,4,2,2,2,4,4,2,6,0,8,4,4,3,7,5,2,4,6,2,9,7,4,0,0,0,0,0,0,0,0,0,0,29
28,7,16,3,1,1,1,1,2,2,1,2,3,2,3,3,3,4,1,2,2,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
29,3,5,18,48,4,9,2,3,2,5,6,3,5,7,8,7,4,8,2,8,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
30,4,14,30,3,4,3,3,2,5,7,4,5,8,2,6,6,3,2,5,6,3,10,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,40
31,0,2,1,2,4,8,1,1,2,1,3,2,2,1,3,2,3,2,2,2,3,4,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,13
32,2,7,19,2,1,4,5,2,5,6,2,5,4,3,4,6,3,3,8,7,2,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,26
33,2,2,1,5,19,2,1,4,3,2,3,5,3,6,1,5,3,2,5,8,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23
34,1,2,1,4,13,1,0,0,1,1,1,2,5,2,5,5,2,3,3,2,4,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13
35,4,3,3,22,36,2,4,3,3,3,2,8,24,3,18,9,5,12,9,7,10,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,40
36,2,2,3,11,41,4,4,2,4,8,5,6,2,6,7,6,10,2,3,7,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
37,0,4,12,2,1,1,0,1,2,2,2,1,2,2,5,1,4,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
38,4,17,1,1,2,2,2,2,1,2,2,2,1,3,5,1,5,7,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
39,0,1,0,6,11,2,0,1,0,1,0,1,1,1,1,1,1,1,2,1,3,3,1,5,2,1,3,0,0,0,0,0,0,0,0,0,0,12
40,7,23,3,3,4,4,2,4,5,2,6,5,2,10,20,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
41,2,3,0,1,1,1,2,2,0,0,2,1,1,1,2,1,1,1,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
42,1,3,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,2,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,7
43,1,2,4,0,1,1,1,2,2,1,2,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9
44,1,1,3,9,1,1,1,1,0,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,12
45,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
46,0,1,0,0,1,1,1,1,2,1,0,2,2,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,2,2,1,1,0,1,0,0,10
47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,1,4,1,1,0,1,1,1,1,1,1,3,1,1,0,1,1,1,1,1,2,1,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,8
49,7,1,1,3,1,2,1,2,1,3,2,3,2,2,1,2,1,2,1,4,2,2,1,1,1,2,2,1,2,0,0,0,0,0,0,0,0,15
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,1,1,1,2,1,2,0,3,2,1,1,1,1,1,0,1,1,2,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,7
52,1,1,6,3,4,3,2,5,5,2,1,1,1,2,1,1,1,3,4,2,1,3,1,3,1,3,1,1,2,0,0,0,0,0,0,0,0,22
53,1,1,1,1,4,1,1,2,2,1,1,1,2,2,2,0,1,1,0,2,2,3,1,2,2,1,1,3,3,1,1,2,0,0,0,0,0,13
54,1,2,1,0,1,3,2,1,1,3,1,0,1,1,1,2,2,2,3,3,1,1,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,14
55,1,0,0,1,2,0,0,1,1,0,0,0,0,1,0,1,1,1,2,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8
56,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,7
57,0,1,0,1,3,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4
58,1,2,1,2,4,1,2,2,4,2,1,1,2,2,1,1,3,2,0,2,3,4,6,4,4,3,1,0,0,0,0,0,0,0,0,0,0,18
59,1,1,1,0,2,1,1,1,1,1,1,1,0,1,0,1,1,1,3,0,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,11
60,0,1,1,1,3,1,1,1,2,1,1,1,1,0,0,3,1,1,2,1,2,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,10
61,0,1,0,2,1,1,1,2,1,1,1,1,1,1,1,1,0,1,2,1,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12
