,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,3,2,1,0,0,3,2,2,3,8,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1,0,0,0,1,4,1,0,1,0,1,1,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2,0,2,2,0,1,2,6,5,5,9,1,2,0,0,1,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
3,1,2,1,1,8,5,9,14,27,2,5,6,9,4,1,0,2,9,6,1,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
4,22,13,5,7,9,4,6,24,0,3,4,3,2,3,4,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
5,4,5,1,2,3,6,9,6,33,3,8,8,5,6,8,4,6,7,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
6,2,15,3,8,8,7,6,26,5,10,0,2,4,3,8,8,4,7,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
7,3,17,32,14,9,4,4,20,36,1,10,10,0,5,6,9,9,8,9,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
8,6,15,6,13,13,7,2,9,32,4,4,7,2,10,7,13,5,9,3,5,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
9,3,3,1,6,12,10,3,12,17,3,5,6,10,7,9,8,3,3,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
10,10,9,15,12,10,8,11,24,5,3,8,7,13,3,25,57,13,13,8,22,16,15,22,10,17,5,0,0,0,0,0,0,0,0,0,0,0,73
11,12,4,16,16,21,16,13,17,5,4,9,17,16,23,46,9,21,18,8,25,18,13,12,33,17,11,15,0,0,0,0,0,0,0,0,0,0,76
12,8,1,4,3,12,16,9,11,11,2,7,4,7,13,12,10,3,8,4,6,4,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,32
13,3,3,4,10,3,8,3,5,12,3,6,4,9,16,10,4,1,6,15,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
14,4,2,8,7,8,6,7,7,23,3,6,7,9,16,20,10,5,11,7,5,3,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,34
15,4,4,1,1,12,7,4,11,22,11,13,12,5,5,4,4,12,9,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
16,1,3,5,4,10,12,7,12,8,15,8,15,17,12,3,10,1,17,4,3,6,3,2,6,4,3,1,0,0,0,0,0,0,0,0,0,0,38
17,1,2,5,5,8,5,5,18,11,12,12,8,10,15,6,3,2,2,11,2,6,4,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,23
18,1,0,3,2,8,6,8,13,12,14,13,1,10,11,2,15,2,17,2,4,9,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,41
19,0,3,0,6,5,6,7,9,8,10,18,3,6,17,10,13,3,9,2,7,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,23
20,4,0,1,1,0,2,3,3,2,2,5,3,5,5,2,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
21,11,5,7,5,11,11,20,50,10,9,12,12,10,10,10,5,38,12,7,10,17,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,62
22,0,0,2,0,5,1,9,2,1,4,1,1,6,6,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
23,0,0,0,0,1,1,1,2,1,0,0,0,3,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24,5,8,6,7,6,4,16,23,7,5,9,16,6,9,25,18,5,56,15,7,6,13,4,11,10,0,0,0,0,0,0,0,0,0,0,0,0,64
25,0,0,2,7,38,3,4,4,3,4,5,7,1,10,5,4,6,1,1,3,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
26,1,1,15,32,0,1,9,7,7,25,4,8,10,2,3,3,1,13,5,7,4,1,2,2,0,6,1,0,0,0,0,0,0,0,0,0,0,31
27,2,7,12,39,2,3,3,1,0,2,11,3,6,0,6,6,3,2,6,5,6,6,11,2,10,9,1,0,0,0,0,0,0,0,0,0,0,29
28,5,29,2,1,0,3,0,2,2,4,6,5,1,11,8,20,3,1,5,6,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
29,3,5,14,62,5,3,6,7,3,11,5,7,6,8,8,5,8,8,3,7,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
30,1,20,31,8,5,6,2,0,16,12,6,11,11,4,6,9,5,5,12,9,3,12,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,42
31,2,2,1,0,0,11,1,2,1,0,3,2,1,4,2,5,1,3,3,6,6,9,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21
32,3,5,25,1,3,3,5,3,7,3,2,6,4,4,8,10,2,2,3,5,2,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,30
33,5,4,3,4,28,2,2,4,5,4,8,1,5,2,2,9,11,4,6,5,2,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24
34,2,0,2,3,15,1,1,0,0,1,0,1,6,0,3,4,0,8,5,2,7,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13
35,5,6,7,25,37,6,1,7,2,1,3,11,17,1,14,8,2,4,12,6,13,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,45
36,9,3,8,9,34,0,4,5,10,10,2,4,2,1,3,8,4,3,2,12,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
37,0,4,9,0,1,0,2,0,3,1,0,1,5,2,15,1,5,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
38,5,17,1,2,0,0,4,3,0,3,1,5,0,2,7,0,4,10,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
39,0,1,2,2,14,2,1,0,2,0,4,1,4,1,2,1,1,1,4,2,2,3,1,4,2,2,3,0,0,0,0,0,0,0,0,0,0,16
40,7,49,0,3,1,3,3,3,2,1,5,7,3,9,18,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
41,1,6,3,1,3,4,1,0,1,1,1,0,0,2,6,0,4,1,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
42,0,8,0,1,0,0,1,1,0,0,4,1,2,1,1,0,1,1,2,2,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16
43,0,2,13,1,1,1,3,0,1,4,2,1,2,0,0,4,1,0,0,2,1,0,2,5,6,0,1,0,0,0,0,0,0,0,0,0,0,11
44,2,1,2,24,1,5,1,3,1,4,0,5,4,0,0,2,3,6,8,0,2,1,0,10,0,1,3,1,3,0,0,0,0,0,0,0,0,16
45,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
46,1,4,1,0,0,1,1,2,0,1,1,2,0,1,0,0,1,0,3,1,1,0,1,1,2,1,0,0,2,3,1,1,0,1,0,0,1,11
47,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,1,2,2,1,0,3,3,3,2,1,2,2,1,0,1,2,0,2,0,0,2,1,5,2,2,0,3,1,0,0,2,0,0,0,0,0,0,17
49,11,2,3,0,6,3,0,7,4,3,5,0,7,2,0,3,3,2,0,1,10,2,0,8,3,4,2,1,3,0,0,0,0,0,0,0,0,18
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,3,1,2,1,0,2,3,3,0,1,0,0,0,0,0,5,2,3,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,11
52,0,0,2,4,5,4,3,5,0,5,1,1,3,3,3,2,2,5,3,2,2,1,4,5,2,5,2,5,1,0,0,0,0,0,0,0,0,34
