,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,1,1,0,0,0,2,1,1,3,12,0,1,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1,0,0,2,0,1,0,4,5,1,6,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2,0,2,0,4,6,1,4,3,2,12,1,3,1,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,1,6,5,11,15,4,7,14,26,4,4,3,1,3,4,6,2,10,8,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
4,10,4,4,13,11,5,9,30,4,4,5,3,3,8,10,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
5,3,1,3,3,3,5,5,11,29,6,3,3,3,4,3,8,3,4,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
6,3,4,1,5,5,3,14,42,5,8,6,6,4,1,6,1,9,5,1,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
7,5,2,6,1,10,10,1,7,57,5,3,9,2,5,14,14,8,10,4,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
8,1,8,5,1,4,6,4,12,45,8,4,5,3,2,8,17,9,7,10,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
9,5,5,5,1,2,10,6,5,18,6,7,4,11,2,15,9,5,5,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
10,14,8,9,16,12,12,9,34,5,6,8,12,5,3,29,50,13,13,3,15,15,5,11,7,9,3,0,0,0,0,0,0,0,0,0,0,0,62
11,17,11,11,20,19,18,16,27,9,14,18,18,10,20,33,3,19,14,8,22,10,15,9,21,23,5,14,0,0,0,0,0,0,0,0,0,0,93
12,2,4,2,5,12,5,5,11,7,3,5,6,9,6,18,6,3,7,1,2,4,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,39
13,8,2,3,3,6,12,3,8,24,2,6,3,3,21,18,6,2,8,9,10,6,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36
14,1,4,5,4,6,7,4,5,32,10,3,6,2,24,22,13,4,8,12,4,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
15,3,0,1,6,4,4,4,5,11,4,4,2,10,4,6,0,3,9,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
16,4,3,1,3,0,9,2,13,6,7,4,18,5,5,1,4,2,6,1,2,1,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,25
